id;type;designation;puissance;ferro;ib_ferro;ia_ferro;elec;ib_elec
1;1;FL 15W;15;1;0,12;0,36;0;0
2;1;FL 18W;18;1;0,23;0,44;1;0,08
3;1;FL 30W;30;1;0,36;0,67;1;0,13
4;1;FL 36W;36;0;0;0;1;0,16
5;1;FL 40W;40;0;0;0;1;0,21
6;1;FL 58W;58;0;0;0;1;0,24
7;1;FL 70W;70;0;0;0;1;0,3
8;2;FC 11W;11;0;0;0;1;0,05
9;2;FC 14W;14;0;0;0;1;6
10;2;FC 15W;15;0;0;0;1;0,06
11;2;FC 17W;17;0;0;0;1;0,07
12;2;FC 18W;18;0;0;0;1;0,08
13;2;FC 20W;20;0;0;0;1;0,09
14;2;FC 23W;23;0;0;0;1;0,1
15;2;FC 26W;26;0;0;0;1;0,11
16;2;FC 42W;42;0;0;0;1;0,18
17;3;VM 50W;50;1;0,36;0,4;0;0
18;3;VM 80W;80;1;0,45;0,65;0;0
19;3;VM 125W;125;1;0,7;1,1;0;0
20;3;VM 250W;250;1;1,35;2,2;0;0
21;3;VM 400W;400;1;2,15;3,9;0;0
22;3;VM 700W;700;1;3,85;6,4;0;0
23;3;VM 1000W;1000;1;5,3;7,5;0;0
24;4;SHP 50W;50;1;0,3;0,45;0;0
25;4;SHP 70W;70;1;0,45;0,6;1;0,36
26;4;SHP 100W;100;1;0,6;0,9;1;0,49
27;4;SHP 150W;150;1;0,85;1,2;1;0,71
28;4;SHP 250W;250;1;1,4;2,3;1;1,18
29;4;SHP 400W;400;1;2,2;3,6;1;1,87
30;4;SHP 600W;600;1;3,1;4,9;0;0
31;4;SHP 1000W;1000;1;5,4;10,6;0;0
32;5;SHP-B 35W;35;1;0,2;0,7;0;0
33;5;SHP-B 50W;50;1;0,35;0,9;1;0,65
34;5;SHP-B 100W;100;1;0,55;1,3;1;1,1
35;6;SBP 18W;18;1;0,14;0,35;0;0
36;6;SBP 26W;26;1;0,16;0,45;0;0
37;6;SBP 36W;36;1;0,22;0,6;1;0,16
38;6;SBP 55W;55;1;0,34;0,63;1;0,23
39;6;SBP 91W;91;1;0,49;0,66;1;0,4
40;6;SBP 131W;131;1;0,66;0,95;0;0
41;6;SBP 135W;135;1;0,73;0,86;0;0
42;6;SBP 180W;180;1;1;1,15;0;0
43;7;IM 20W;20;1;0,11;0,2;1;0,11
44;7;IM 35W;35;1;0,24;0,55;1;0,2
45;7;IM 70W;70;1;0,45;0,6;1;0,36
46;7;IM 100W;100;1;0,6;0,9;1;0,49
47;7;IM 150W;150;1;0,85;1,2;1;0,71
48;7;IM 250W;250;1;0,35;2,2;1;1,18
49;7;IM 400W;400;1;2,2;3,6;1;1,87
50;7;IM 1000W;1000;1;5,4;9,3;0;0
51;7;IM 2000W;2000;1;10,3;15,5;0;0
52;8;PGZ 45W;45;0;0;0;1;0,23
53;8;PGZ 60W;60;0;0;0;1;0,3
54;8;PGZ 90W;90;0;0;0;1;0,43
55;8;PGZ 140W;140;0;0;0;1;0,7
56;9;LED 40W;40;0;0;0;1;0,21
57;9;LED 50W;50;0;0;0;1;0,23
58;9;LED 70W;70;0;0;0;1;0,31
59;9;LED 75W;75;0;0;0;1;0,38
60;9;LED 100W;100;0;0;0;1;0,48
61;9;LED 150W;150;0;0;0;1;0,7
62;9;LED 200W;200;0;0;0;1;0,89
